(ep: 1, it: 5000, t: 0.058[s], ept: 0.08/2.43[h]) loss_total: 0.800, acc_r: 0.730
(ep: 1, it: 10000, t: 0.056[s], ept: 0.28/4.27[h]) loss_total: 0.772, acc_r: 0.660
(ep: 1, it: 15000, t: 0.057[s], ept: 0.36/3.62[h]) loss_total: 0.743, acc_r: 0.760
(ep: 1, it: 20000, t: 0.057[s], ept: 0.43/3.29[h]) loss_total: 0.727, acc_r: 0.740
(ep: 1, it: 25000, t: 0.057[s], ept: 0.51/3.10[h]) loss_total: 0.710, acc_r: 0.720
(ep: 1, it: 30000, t: 0.057[s], ept: 0.59/2.97[h]) loss_total: 0.703, acc_r: 0.770
(ep: 1, it: 35000, t: 0.057[s], ept: 0.67/2.88[h]) loss_total: 0.702, acc_r: 0.710
(ep: 1, it: 40000, t: 0.057[s], ept: 0.74/2.81[h]) loss_total: 0.701, acc_r: 0.690
(ep: 1, it: 45000, t: 0.057[s], ept: 0.82/2.76[h]) loss_total: 0.695, acc_r: 0.730
(ep: 1, it: 50000, t: 0.057[s], ept: 0.90/2.72[h]) loss_total: 0.695, acc_r: 0.680
(ep: 1, it: 55000, t: 0.057[s], ept: 0.97/2.68[h]) loss_total: 0.694, acc_r: 0.770
(ep: 1, it: 60000, t: 0.057[s], ept: 1.05/2.65[h]) loss_total: 0.688, acc_r: 0.730
(ep: 1, it: 65000, t: 0.057[s], ept: 1.13/2.63[h]) loss_total: 0.694, acc_r: 0.670
(ep: 1, it: 70000, t: 0.057[s], ept: 1.20/2.61[h]) loss_total: 0.693, acc_r: 0.770
(ep: 1, it: 75000, t: 0.057[s], ept: 1.28/2.59[h]) loss_total: 0.690, acc_r: 0.790
(ep: 1, it: 80000, t: 0.057[s], ept: 1.36/2.57[h]) loss_total: 0.693, acc_r: 0.750
(ep: 1, it: 85000, t: 0.057[s], ept: 1.44/2.56[h]) loss_total: 0.693, acc_r: 0.690
(ep: 1, it: 90000, t: 0.057[s], ept: 1.51/2.55[h]) loss_total: 0.690, acc_r: 0.740
(ep: 1, it: 95000, t: 0.057[s], ept: 1.59/2.53[h]) loss_total: 0.690, acc_r: 0.650
(ep: 1, it: 100000, t: 0.057[s], ept: 1.67/2.52[h]) loss_total: 0.686, acc_r: 0.700
(ep: 1, it: 105000, t: 0.057[s], ept: 1.74/2.51[h]) loss_total: 0.664, acc_r: 0.770
(ep: 1, it: 110000, t: 0.057[s], ept: 1.82/2.51[h]) loss_total: 0.609, acc_r: 0.790
(ep: 1, it: 115000, t: 0.057[s], ept: 1.90/2.50[h]) loss_total: 0.630, acc_r: 0.770
(ep: 1, it: 120000, t: 0.057[s], ept: 1.97/2.49[h]) loss_total: 0.540, acc_r: 0.830
(ep: 1, it: 125000, t: 0.057[s], ept: 2.05/2.49[h]) loss_total: 0.615, acc_r: 0.770
(ep: 1, it: 130000, t: 0.057[s], ept: 2.13/2.48[h]) loss_total: 0.530, acc_r: 0.820
(ep: 1, it: 135000, t: 0.057[s], ept: 2.21/2.47[h]) loss_total: 0.518, acc_r: 0.820
(ep: 1, it: 140000, t: 0.057[s], ept: 2.28/2.47[h]) loss_total: 0.625, acc_r: 0.690
(ep: 1, it: 145000, t: 0.057[s], ept: 2.36/2.46[h]) loss_total: 0.525, acc_r: 0.780
