(ep: 1, it: 5000, t: 0.004[s], ept: 0.00/0.13[h]) loss_total: 0.698, acc_r: 0.730
(ep: 1, it: 10000, t: 0.004[s], ept: 0.01/0.13[h]) loss_total: 0.684, acc_r: 0.670
(ep: 1, it: 15000, t: 0.004[s], ept: 0.01/0.12[h]) loss_total: 0.643, acc_r: 0.750
(ep: 1, it: 20000, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.623, acc_r: 0.680
(ep: 1, it: 25000, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.606, acc_r: 0.680
(ep: 1, it: 30000, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.584, acc_r: 0.680
(ep: 1, it: 35000, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.521, acc_r: 0.700
(ep: 1, it: 40000, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.460, acc_r: 0.810
(ep: 1, it: 45000, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.559, acc_r: 0.700
(ep: 1, it: 50000, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.491, acc_r: 0.790
(ep: 1, it: 55000, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.442, acc_r: 0.770
(ep: 1, it: 60000, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.565, acc_r: 0.720
(ep: 1, it: 65000, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.413, acc_r: 0.870
(ep: 1, it: 70000, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.458, acc_r: 0.800
(ep: 1, it: 75000, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.397, acc_r: 0.830
(ep: 1, it: 80000, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.571, acc_r: 0.740
(ep: 1, it: 85000, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.476, acc_r: 0.750
(ep: 1, it: 90000, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.462, acc_r: 0.810
(ep: 1, it: 95000, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.491, acc_r: 0.760
(ep: 1, it: 100000, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.464, acc_r: 0.770
(ep: 1, it: 105000, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.488, acc_r: 0.740
(ep: 1, it: 110000, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.486, acc_r: 0.770
(ep: 1, it: 115000, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.515, acc_r: 0.680
(ep: 1, it: 120000, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.471, acc_r: 0.740
(ep: 1, it: 125000, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.421, acc_r: 0.860
(ep: 1, it: 130000, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.467, acc_r: 0.780
(ep: 1, it: 135000, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.455, acc_r: 0.800
(ep: 1, it: 140000, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.472, acc_r: 0.780
(ep: 1, it: 145000, t: 0.004[s], ept: 0.12/0.12[h]) loss_total: 0.467, acc_r: 0.790
(ep: 1, it: 150000, t: 0.004[s], ept: 0.12/0.12[h]) loss_total: 0.556, acc_r: 0.690
(ep: 2, it: 3600, t: 0.004[s], ept: 0.00/0.13[h]) loss_total: 0.496, acc_r: 0.800
(ep: 2, it: 8600, t: 0.004[s], ept: 0.01/0.13[h]) loss_total: 0.444, acc_r: 0.790
(ep: 2, it: 13600, t: 0.004[s], ept: 0.01/0.12[h]) loss_total: 0.471, acc_r: 0.720
(ep: 2, it: 18600, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.517, acc_r: 0.720
(ep: 2, it: 23600, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.473, acc_r: 0.760
(ep: 2, it: 28600, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.383, acc_r: 0.830
(ep: 2, it: 33600, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.368, acc_r: 0.850
(ep: 2, it: 38600, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.546, acc_r: 0.640
(ep: 2, it: 43600, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.406, acc_r: 0.790
(ep: 2, it: 48600, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.338, acc_r: 0.880
(ep: 2, it: 53600, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.383, acc_r: 0.810
(ep: 2, it: 58600, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.476, acc_r: 0.770
(ep: 2, it: 63600, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.422, acc_r: 0.820
(ep: 2, it: 68600, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.462, acc_r: 0.740
(ep: 2, it: 73600, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.382, acc_r: 0.810
(ep: 2, it: 78600, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.415, acc_r: 0.790
(ep: 2, it: 83600, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.370, acc_r: 0.850
(ep: 2, it: 88600, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.382, acc_r: 0.810
(ep: 2, it: 93600, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.384, acc_r: 0.810
(ep: 2, it: 98600, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.562, acc_r: 0.750
(ep: 2, it: 103600, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.396, acc_r: 0.820
(ep: 2, it: 108600, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.504, acc_r: 0.760
(ep: 2, it: 113600, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.393, acc_r: 0.830
(ep: 2, it: 118600, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.471, acc_r: 0.760
(ep: 2, it: 123600, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.353, acc_r: 0.840
(ep: 2, it: 128600, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.422, acc_r: 0.830
(ep: 2, it: 133600, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.396, acc_r: 0.840
(ep: 2, it: 138600, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.448, acc_r: 0.750
(ep: 2, it: 143600, t: 0.004[s], ept: 0.12/0.12[h]) loss_total: 0.455, acc_r: 0.740
(ep: 2, it: 148600, t: 0.004[s], ept: 0.12/0.12[h]) loss_total: 0.462, acc_r: 0.760
(ep: 3, it: 2200, t: 0.004[s], ept: 0.00/0.14[h]) loss_total: 0.497, acc_r: 0.710
(ep: 3, it: 7200, t: 0.004[s], ept: 0.01/0.13[h]) loss_total: 0.348, acc_r: 0.840
(ep: 3, it: 12200, t: 0.004[s], ept: 0.01/0.12[h]) loss_total: 0.511, acc_r: 0.740
(ep: 3, it: 17200, t: 0.004[s], ept: 0.01/0.12[h]) loss_total: 0.437, acc_r: 0.840
(ep: 3, it: 22200, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.480, acc_r: 0.720
(ep: 3, it: 27200, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.408, acc_r: 0.820
(ep: 3, it: 32200, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.515, acc_r: 0.660
(ep: 3, it: 37200, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.385, acc_r: 0.810
(ep: 3, it: 42200, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.603, acc_r: 0.650
(ep: 3, it: 47200, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.461, acc_r: 0.780
(ep: 3, it: 52200, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.536, acc_r: 0.740
(ep: 3, it: 57200, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.382, acc_r: 0.820
(ep: 3, it: 62200, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.421, acc_r: 0.730
(ep: 3, it: 67200, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.396, acc_r: 0.840
(ep: 3, it: 72200, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.433, acc_r: 0.800
(ep: 3, it: 77200, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.484, acc_r: 0.740
(ep: 3, it: 82200, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.428, acc_r: 0.810
(ep: 3, it: 87200, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.438, acc_r: 0.810
(ep: 3, it: 92200, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.428, acc_r: 0.810
(ep: 3, it: 97200, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.499, acc_r: 0.730
(ep: 3, it: 102200, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.476, acc_r: 0.780
(ep: 3, it: 107200, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.521, acc_r: 0.810
(ep: 3, it: 112200, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.458, acc_r: 0.750
(ep: 3, it: 117200, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.402, acc_r: 0.850
(ep: 3, it: 122200, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.411, acc_r: 0.790
(ep: 3, it: 127200, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.420, acc_r: 0.800
